thumb_x,thumb_y,index_x,index_y,middle_x,middle_y,ring_x,ring_y,small_x,small_y,runs
0.56852448,0.729688466,0.540529251,0.64864713,0.603435516,0.778746426,0.606466472,0.827976525,0.594495654,0.860963464,1
0.56548804,0.692210615,0.535244346,0.610248864,0.603173852,0.755668521,0.605894089,0.802521348,0.591578543,0.831874192,1
0.562649965,0.641433954,0.526106417,0.54526633,0.596484125,0.709542632,0.597690701,0.754647493,0.583162725,0.780861974,1
0.563604712,0.630488694,0.52965349,0.540168703,0.598053694,0.705837011,0.597661614,0.748885632,0.583933592,0.771488547,1
0.561831474,0.606720269,0.531774521,0.507468402,0.595445693,0.682920337,0.594938159,0.728780985,0.58007288,0.752075911,1
0.564260304,0.597656965,0.530728161,0.500429153,0.596142352,0.680345953,0.593969285,0.723969936,0.580082119,0.746239185,1
0.55925864,0.582907259,0.528644145,0.487690866,0.593661249,0.671236932,0.592268169,0.712392032,0.577596724,0.733246267,1
0.561608791,0.582207918,0.529459357,0.48536545,0.593756557,0.663242698,0.592068374,0.707989633,0.576781034,0.729827225,1
0.56750381,0.556315541,0.538904071,0.455652356,0.596481085,0.64423418,0.593904257,0.68521452,0.580570817,0.704438686,1
0.570676565,0.550854087,0.543139994,0.447442114,0.598014951,0.63332969,0.595772803,0.677361846,0.579902709,0.694840312,1
0.580214262,0.518314481,0.56649524,0.398771226,0.603902578,0.605775177,0.598504722,0.647672415,0.581624389,0.664076567,1
0.576272845,0.516350508,0.570288181,0.388223469,0.604626417,0.608131111,0.598060191,0.648022056,0.581070483,0.664446533,1
0.567156672,0.505020022,0.578154683,0.366771579,0.601156175,0.595693171,0.592435539,0.635359824,0.574796617,0.651186466,1
0.569877446,0.493182123,0.581445456,0.355967224,0.600576043,0.585151076,0.590587974,0.623117566,0.574005485,0.639955044,1
0.574972153,0.437636733,0.60120666,0.298811883,0.606254458,0.530254602,0.595527649,0.567726791,0.57902652,0.581160426,1
0.576879263,0.433296144,0.608341992,0.295247138,0.610695779,0.525030792,0.597466469,0.558720827,0.581306517,0.574725032,1
0.583001971,0.41004312,0.61805743,0.280997306,0.615175068,0.512581885,0.60269016,0.551300883,0.585096002,0.56111145,1
0.58380115,0.411722213,0.618586063,0.281697869,0.613665283,0.509576678,0.601943493,0.543388605,0.586425543,0.559715211,1
0.582167387,0.41212517,0.618537188,0.282236218,0.614165068,0.514536858,0.60242033,0.547015429,0.58675468,0.561530292,1
0.580147147,0.408447564,0.622651875,0.283118129,0.614851832,0.504679203,0.600147367,0.541359603,0.584383309,0.558703005,1
0.579475582,0.406926632,0.62284416,0.279469788,0.612419128,0.506304801,0.598591447,0.542095482,0.584178984,0.558828771,1
0.576157928,0.408190072,0.620512545,0.264452368,0.612184823,0.501003861,0.597241998,0.537706733,0.583663881,0.558494687,1
0.57469964,0.405897588,0.621293068,0.260297298,0.608658433,0.499017924,0.594866037,0.537416697,0.583479643,0.556770384,1
0.576413631,0.42700389,0.605321705,0.266257048,0.611001611,0.509212554,0.602498829,0.549154341,0.590808332,0.566952169,1
0.575880468,0.428574532,0.5928725,0.275761932,0.616058886,0.51231426,0.605788231,0.549416244,0.590176225,0.573955894,1
0.571210682,0.457624227,0.542240381,0.383937269,0.613642573,0.534107864,0.611945152,0.576458275,0.596903324,0.603266895,1
0.567824304,0.47148478,0.532129765,0.404050022,0.614010155,0.538087964,0.614995062,0.581178606,0.601286352,0.604248285,1
0.576797962,0.477786243,0.524305522,0.461544693,0.623053312,0.529324949,0.626116931,0.574777067,0.615505993,0.602221429,1
0.582336903,0.470726788,0.52574712,0.463199914,0.62536788,0.523640692,0.630949497,0.568964422,0.619392931,0.596727371,1
0.587332845,0.460786641,0.526489317,0.464451104,0.633842051,0.513152897,0.640677452,0.558961272,0.629240155,0.587696731,1
0.59059757,0.462543517,0.523466587,0.47318697,0.634462297,0.511468828,0.640857399,0.555787563,0.631430626,0.586990893,1
0.594622016,0.464009523,0.520112455,0.486433685,0.6400401,0.505567789,0.648070157,0.549768984,0.639951348,0.582560956,1
0.594905674,0.462857127,0.520027816,0.484612167,0.638268948,0.506738663,0.64715457,0.549384296,0.63983506,0.582924128,1
0.595276296,0.441219866,0.517816305,0.482905269,0.641566694,0.484670818,0.649371266,0.52784133,0.643376827,0.560942531,1
0.595093966,0.440650731,0.515410423,0.49082011,0.641431808,0.487979621,0.647970498,0.528137445,0.642660081,0.558363557,1
0.589945495,0.444687456,0.506608784,0.511111319,0.635177135,0.48802346,0.640823185,0.528980017,0.637150049,0.559798121,1
0.586324692,0.445191562,0.503644705,0.514701545,0.632657528,0.490965426,0.638585806,0.531205058,0.636301875,0.560011148,1
0.57641536,0.448703378,0.497015357,0.518988311,0.620239675,0.489304185,0.628460765,0.531756997,0.629339099,0.563027561,1
0.574944019,0.44724828,0.494669497,0.522250891,0.620250404,0.494272947,0.628002286,0.532868505,0.628836513,0.558750391,1
0.576706052,0.445086658,0.500589073,0.508177459,0.623497367,0.491327822,0.631089985,0.531732619,0.62966162,0.556725144,1
0.580150247,0.454695821,0.502879858,0.502830803,0.626359761,0.495009542,0.633494079,0.535271823,0.632263005,0.563639164,1
0.581592143,0.48765099,0.508133531,0.518562257,0.626517594,0.528861463,0.632647693,0.571296453,0.626848042,0.59902221,1
0.582800686,0.490944415,0.51049763,0.51189971,0.62647599,0.532843888,0.6337834,0.575773954,0.627368867,0.606121361,1
0.585737765,0.4895854,0.52504468,0.475473344,0.628318727,0.545114636,0.635980308,0.590123892,0.626499534,0.620383501,1
